order_id,user_id,order_date,revenue,category,city,order_status
ORD-000879,U1081,2025-06-02,162.0,Beauty,Karaganda,completed
ORD-001127,U1111,2025-03-21,218.79,Sports,Shymkent,completed
ORD-000908,U1085,2025-04-22,35.35,Accessories,Astana,completed
ORD-000267,U1021,2025-08-27,178.02,Home,Astana,completed
ORD-000490,U1038,2025-11-03,170.64,Sports,Almaty,completed
ORD-000594,U1046,2025-06-07,56.67,Books,Astana,completed
ORD-000176,U1015,2025-08-06,92.9,Accessories,Shymkent,completed
ORD-000085,U1008,2025-07-13,222.54,Sports,Pavlodar,completed
ORD-001614,U1224,2024-01-19,46.26,Accessories,Almaty,completed
ORD-001094,U1106,2025-04-17,15.32,Clothing,Shymkent,completed
ORD-001817,U1254,2024-03-29,32.69,Books,Shymkent,completed
ORD-001166,U1115,2024-12-01,133.43,Beauty,Astana,completed
ORD-000736,U1064,2024-10-08,64.58,Books,Almaty,completed
ORD-000218,U1018,2025-08-09,188.59,Sports,Karaganda,completed
ORD-000434,U1034,2025-12-29,78.87,Beauty,Almaty,completed
ORD-001834,U1257,2024-02-04,63.9,Clothing,Almaty,completed
ORD-000283,U1022,2025-10-29,58.1,Books,Almaty,completed
ORD-001027,U1099,2025-01-22,69.91,Sports,Aktobe,completed
ORD-002073,U1355,2024-09-10,65.54,Home,Atyrau,completed
ORD-001502,U1210,2024-09-17,85.5,Beauty,Shymkent,completed
ORD-000075,U1007,2025-09-15,149.94,Books,Atyrau,completed
ORD-002006,U1329,2024-02-29,89.74,Electronics,Kostanay,completed
ORD-001218,U1142,2025-12-27,56.03,Accessories,Aktobe,completed
ORD-002052,U1347,2024-02-21,132.27,Books,Atyrau,completed
ORD-000971,U1091,2025-04-04,190.04,Home,Pavlodar,completed
ORD-001486,U1208,2024-06-29,164.28,Beauty,Kostanay,completed
ORD-001429,U1199,2024-10-06,166.69,Electronics,Pavlodar,completed
ORD-001961,U1310,2024-08-05,31.37,Books,Aktobe,completed
ORD-001220,U1143,2025-11-14,105.55,Home,Karaganda,completed
ORD-001448,U1202,2024-05-26,89.11,Beauty,Aktobe,completed
ORD-000047,U1005,2025-08-03,119.49,Accessories,Atyrau,completed
ORD-000541,U1042,2025-08-21,366.18,Beauty,Aktobe,completed
ORD-001518,U1212,2025-04-29,57.08,Accessories,Karaganda,completed
ORD-001787,U1249,2024-05-30,129.69,Sports,Kostanay,completed
ORD-000804,U1071,2025-10-08,126.13,Sports,Astana,completed
ORD-000775,U1068,2025-08-26,118.59,Sports,Almaty,completed
ORD-001201,U1133,2025-11-28,77.3,Sports,Aktobe,completed
ORD-001747,U1243,2024-01-06,142.02,Sports,Atyrau,completed
ORD-000338,U1027,2025-11-25,165.57,Sports,Karaganda,completed
ORD-000286,U1022,2025-12-26,68.39,Clothing,Almaty,completed
ORD-001272,U1172,2025-11-12,108.24,Home,Pavlodar,completed
ORD-000352,U1028,2025-12-05,117.94,Beauty,Shymkent,completed
ORD-000116,U1010,2025-07-23,74.46,Accessories,Kostanay,completed
ORD-001003,U1096,2024-08-26,65.73,Sports,Shymkent,completed
ORD-001325,U1185,2024-05-09,504.61,Electronics,Pavlodar,completed
ORD-000961,U1090,2025-03-03,76.88,Accessories,Shymkent,completed
ORD-001098,U1107,2024-08-09,130.21,Home,Kostanay,completed
ORD-000667,U1054,2025-11-13,229.16,Electronics,Aktobe,completed
ORD-000494,U1038,2025-11-21,99.2,Clothing,Almaty,completed
ORD-002128,U1313,2025-11-09,0,Clothing,Atyrau,cancelled
ORD-001083,U1105,2024-08-24,190.98,Electronics,Karaganda,completed
ORD-001082,U1105,2024-06-25,22.3,Books,Karaganda,completed
ORD-000568,U1044,2025-10-07,95.33,Books,Karaganda,completed
ORD-000592,U1045,2025-12-28,73.17,Books,Astana,completed
ORD-000785,U1069,2025-09-06,233.77,Clothing,Almaty,completed
ORD-000140,U1012,2025-07-30,168.53,Accessories,Astana,completed
ORD-000683,U1057,2025-11-15,156.09,Beauty,Aktobe,completed
ORD-000468,U1037,2025-07-18,136.49,Home,Kostanay,completed
ORD-001864,U1269,2024-02-26,36.86,Clothing,Aktobe,completed
ORD-000836,U1076,2024-07-26,145.39,Clothing,Astana,completed
ORD-001666,U1230,2024-11-23,175.26,Home,Almaty,completed
ORD-000896,U1083,2025-03-19,75.9,Sports,Almaty,completed
ORD-001845,U1261,2024-09-14,38.13,Beauty,Shymkent,completed
ORD-001075,U1104,2025-03-26,71.67,Clothing,Pavlodar,completed
ORD-000825,U1074,2024-10-15,96.62,Accessories,Pavlodar,completed
ORD-001304,U1182,2024-07-23,24.27,Clothing,Karaganda,completed
ORD-000857,U1078,2024-09-27,97.92,Clothing,Atyrau,completed
ORD-001169,U1116,2025-11-11,149.01,Accessories,Karaganda,completed
ORD-000554,U1043,2025-08-07,84.31,Accessories,Astana,completed
ORD-000048,U1005,2025-08-22,120.78,Sports,Atyrau,completed
ORD-001293,U1181,2024-07-25,124.44,Sports,Almaty,completed
ORD-001050,U1102,2024-10-30,87.12,Books,Almaty,completed
ORD-001576,U1219,2025-01-23,65.92,Accessories,Aktobe,completed
ORD-001375,U1192,2024-01-08,93.64,Accessories,Aktobe,completed
ORD-000783,U1069,2025-07-10,83.5,Clothing,Almaty,completed
ORD-000791,U1070,2024-07-30,93.84,Books,Shymkent,completed
ORD-001163,U1115,2024-09-09,308.03,Electronics,Astana,completed
ORD-001740,U1242,2024-05-13,113.51,Beauty,Astana,completed
ORD-000511,U1039,2025-12-10,345.27,Clothing,Atyrau,completed
ORD-001588,U1221,2024-01-15,107.09,Books,Pavlodar,completed
ORD-001136,U1112,2025-10-22,179.4,Home,Pavlodar,completed
ORD-001629,U1226,2024-07-15,83.88,Electronics,Kostanay,completed
ORD-000588,U1045,2025-11-28,392.16,Electronics,Astana,completed
ORD-000204,U1017,2025-09-10,70.38,Accessories,Kostanay,completed
ORD-000427,U1034,2025-08-29,393.04,Home,Almaty,completed
ORD-001762,U1245,2025-03-15,278.96,Electronics,Astana,completed
ORD-000633,U1051,2024-06-06,61.61,Books,Almaty,completed
ORD-001929,U1299,2024-04-24,70.36,Accessories,Aktobe,completed
ORD-001972,U1314,2024-03-26,34.19,Clothing,Shymkent,completed
ORD-000549,U1042,2025-11-19,153.38,Home,Aktobe,completed
ORD-000876,U1081,2024-06-02,46.1,Books,Karaganda,completed
ORD-000226,U1018,2025-10-14,112.51,Accessories,Karaganda,completed
ORD-000557,U1043,2025-09-16,30.74,Books,Astana,completed
ORD-001247,U1158,2025-11-28,121.1,Electronics,Karaganda,completed
ORD-000065,U1006,2025-08-30,69.81,Home,Almaty,completed
ORD-001246,U1158,2025-11-25,37.8,Books,Karaganda,completed
ORD-001855,U1264,2024-09-08,44.91,Home,Karaganda,completed
ORD-000306,U1024,2025-11-23,285.29,Beauty,Kostanay,completed
