user_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Segment
U1001,11,9,1475.18,5,4,5,545,14,Champions
U1002,5,14,2236.34,5,5,5,555,15,Champions
U1003,31,11,1827.5,4,5,5,455,14,Champions
U1004,12,12,1921.36,5,5,5,555,15,Champions
U1005,1,13,2916.47,5,5,5,555,15,Champions
U1006,10,14,2064.7,5,5,5,555,15,Champions
U1007,6,10,1638.77,5,4,5,545,14,Champions
U1008,6,16,2694.98,5,5,5,555,15,Champions
U1009,15,15,2435.64,5,5,5,555,15,Champions
U1010,13,16,2218.7999999999997,5,5,5,555,15,Champions
U1011,23,9,1261.38,4,4,4,444,12,Champions
U1012,15,12,2905.84,5,5,5,555,15,Champions
U1013,16,10,2362.74,5,4,5,545,14,Champions
U1014,16,13,2536.53,5,5,5,555,15,Champions
U1015,10,11,1795.8400000000001,5,5,5,555,15,Champions
U1016,36,13,1897.11,4,5,5,455,14,Champions
U1017,8,18,2171.8199999999997,5,5,5,555,15,Champions
U1018,14,15,2722.9,5,5,5,555,15,Champions
U1019,12,11,1524.19,5,5,5,555,15,Champions
U1020,17,17,3825.42,5,5,5,555,15,Champions
U1021,54,15,3153.12,4,5,5,455,14,Champions
U1022,4,13,2720.15,5,5,5,555,15,Champions
U1023,1,11,1859.69,5,5,5,555,15,Champions
U1024,19,9,1739.75,4,4,5,445,13,Champions
U1025,28,11,1868.98,4,5,5,455,14,Champions
U1026,18,9,1266.74,5,4,4,544,13,Champions
U1027,37,11,1851.28,4,5,5,455,14,Champions
U1028,27,14,2169.67,4,5,5,455,14,Champions
U1029,4,13,1680.56,5,5,5,555,15,Champions
U1030,1,16,2910.1,5,5,5,555,15,Champions
U1031,40,9,1140.92,4,4,4,444,12,Champions
U1032,15,13,1973.34,5,5,5,555,15,Champions
U1033,12,14,1687.66,5,5,5,555,15,Champions
U1034,3,17,4114.79,5,5,5,555,15,Champions
U1035,22,17,2447.93,4,5,5,455,14,Champions
U1036,3,14,2692.75,5,5,5,555,15,Champions
U1037,3,16,2524.39,5,5,5,555,15,Champions
U1038,3,16,2741.31,5,5,5,555,15,Champions
U1039,6,16,3804.92,5,5,5,555,15,Champions
U1040,8,12,1757.74,5,5,5,555,15,Champions
U1041,3,13,2461.4700000000003,5,5,5,555,15,Champions
U1042,25,14,1995.52,4,5,5,455,14,Champions
U1043,4,10,1806.6,5,4,5,545,14,Champions
U1044,20,13,1894.3,4,5,5,455,14,Champions
U1045,4,17,3118.52,5,5,5,555,15,Champions
U1046,25,5,394.09000000000003,4,3,3,433,10,Loyal Customers
U1047,134,7,809.8499999999999,3,4,3,343,10,Sleeping Customers
U1048,1,8,1315.79,5,4,4,544,13,Champions
U1049,107,9,881.35,3,4,4,344,11,Sleeping Customers
U1050,25,10,962.61,4,5,4,454,13,Champions
U1051,13,11,1050.75,5,5,4,554,14,Champions
U1052,20,7,1098.98,4,4,4,444,12,Champions
U1053,109,10,1606.49,3,5,5,355,13,Sleeping Customers
U1054,49,8,1747.8799999999999,4,4,5,445,13,Champions
U1055,200,6,716.82,3,3,3,333,9,Sleeping Customers
U1056,73,5,412.89,3,3,3,333,9,Sleeping Customers
U1057,47,5,423.61,4,3,3,433,10,Loyal Customers
U1058,37,10,1585.1100000000001,4,5,5,455,14,Champions
U1059,94,7,1265.89,3,4,4,344,11,Sleeping Customers
U1060,75,9,1041.77,3,4,4,344,11,Sleeping Customers
U1061,84,8,694.86,3,4,3,343,10,Sleeping Customers
U1062,36,9,850.38,4,4,4,444,12,Champions
U1063,140,6,695.24,3,3,3,333,9,Sleeping Customers
U1064,44,12,1402.31,4,5,4,454,13,Champions
U1065,164,7,938.24,3,4,4,344,11,Sleeping Customers
U1066,88,9,946.63,3,4,4,344,11,Sleeping Customers
U1067,84,7,1120.31,3,4,4,344,11,Sleeping Customers
U1068,117,9,1248.94,3,4,4,344,11,Sleeping Customers
U1069,7,11,944.98,5,5,4,554,14,Champions
U1070,128,11,1113.59,3,5,4,354,12,Sleeping Customers
U1071,85,6,794.99,3,3,3,333,9,Sleeping Customers
U1072,43,6,597.24,4,3,3,433,10,Loyal Customers
U1073,20,12,1369.92,4,5,4,454,13,Champions
U1074,123,6,950.96,3,3,4,334,10,Sleeping Customers
U1075,25,7,846.86,4,4,4,444,12,Champions
U1076,211,6,784.49,3,3,3,333,9,Sleeping Customers
U1077,58,12,1474.1599999999999,4,5,5,455,14,Champions
U1078,100,11,1500.84,3,5,5,355,13,Sleeping Customers
U1079,61,5,755.76,3,3,3,333,9,Sleeping Customers
U1080,56,6,621.95,4,3,3,433,10,Loyal Customers
U1081,26,6,719.89,4,3,3,433,10,Loyal Customers
U1082,20,7,813.67,4,4,3,443,11,Loyal Customers
U1083,80,9,1127.19,3,4,4,344,11,Sleeping Customers
U1084,58,8,886.27,4,4,4,444,12,Champions
U1085,177,6,511.83,3,3,3,333,9,Sleeping Customers
U1086,14,12,1169.3400000000001,5,5,4,554,14,Champions
U1087,16,10,1000.95,5,5,4,554,14,Champions
U1088,109,11,1763.47,3,5,5,355,13,Sleeping Customers
U1089,74,12,1657.96,3,5,5,355,13,Sleeping Customers
U1090,18,12,1284.1399999999999,4,5,4,454,13,Champions
U1091,120,5,667.14,3,3,3,333,9,Sleeping Customers
U1092,63,6,1013.4,3,3,4,334,10,Sleeping Customers
U1093,76,10,1564.45,3,5,5,355,13,Sleeping Customers
U1094,174,6,582.8100000000001,3,3,3,333,9,Sleeping Customers
U1095,146,7,1051.17,3,4,4,344,11,Sleeping Customers
U1096,4,6,857.01,5,3,4,534,12,Loyal Customers
U1097,14,10,1270.58,5,5,4,554,14,Champions
U1098,16,6,668.37,5,3,3,533,11,Loyal Customers
U1099,18,7,622.37,4,4,3,443,11,Loyal Customers
U1100,19,11,826.86,4,5,3,453,12,Loyal Customers
U1101,2,6,1422.03,5,3,4,534,12,Loyal Customers
U1102,107,9,1204.3700000000001,3,4,4,344,11,Sleeping Customers
U1103,43,12,1962.39,4,5,5,455,14,Champions
U1104,3,10,2005.01,5,5,5,555,15,Champions
U1105,101,12,1054.79,3,5,4,354,12,Sleeping Customers
U1106,134,6,683.62,3,3,3,333,9,Sleeping Customers
U1107,67,5,422.11,3,3,3,333,9,Sleeping Customers
U1108,67,5,705.3399999999999,3,3,3,333,9,Sleeping Customers
U1109,16,7,589.9599999999999,5,4,3,543,12,Loyal Customers
U1110,56,8,1124.49,4,4,4,444,12,Champions
U1111,22,7,743.48,4,4,3,443,11,Loyal Customers
U1112,13,8,1724.2,5,4,5,545,14,Champions
U1113,6,11,1442.5,5,5,4,554,14,Champions
U1114,68,12,1444.0,3,5,4,354,12,Sleeping Customers
U1115,296,8,1443.09,2,4,4,244,10,Lost Customers
U1116,4,2,221.64,5,1,2,512,8,New Customers
U1117,8,1,110.77,5,1,1,511,7,New Customers
U1118,13,1,83.03,5,1,1,511,7,New Customers
U1119,37,2,96.94,4,1,1,411,6,New Customers
U1120,7,1,705.13,5,1,3,513,9,New Customers
U1121,28,2,78.39,4,1,1,411,6,New Customers
U1122,38,1,56.97,4,1,1,411,6,New Customers
U1123,8,1,123.24,5,1,1,511,7,New Customers
U1124,1,3,577.94,5,2,3,523,10,New Customers
U1125,37,1,100.34,4,1,1,411,6,New Customers
U1126,19,1,51.91,4,1,1,411,6,New Customers
U1127,29,3,342.56,4,2,3,423,9,New Customers
U1128,30,3,268.77,4,2,2,422,8,New Customers
U1129,30,2,103.2,4,1,1,411,6,New Customers
U1130,34,2,155.38,4,1,2,412,7,New Customers
U1131,40,2,89.21000000000001,4,1,1,411,6,New Customers
U1132,24,3,196.44,4,2,2,422,8,New Customers
U1133,34,2,149.03,4,1,2,412,7,New Customers
U1134,7,3,186.37,5,2,2,522,9,New Customers
U1135,35,1,65.16,4,1,1,411,6,New Customers
U1136,21,1,35.41,4,1,1,411,6,New Customers
U1137,2,2,172.98000000000002,5,1,2,512,8,New Customers
U1138,35,2,49.21,4,1,1,411,6,New Customers
U1139,52,1,58.31,4,1,1,411,6,New Customers
U1140,4,3,256.89,5,2,2,522,9,New Customers
U1141,19,2,243.09999999999997,4,1,2,412,7,New Customers
U1142,5,2,164.86,5,1,2,512,8,New Customers
U1143,48,2,240.17000000000002,4,1,2,412,7,New Customers
U1144,18,2,1437.7,4,1,4,414,9,New Customers
U1145,3,3,193.34,5,2,2,522,9,New Customers
U1146,2,2,251.87,5,1,2,512,8,New Customers
U1147,44,1,49.15,4,1,1,411,6,New Customers
U1148,3,3,164.88,5,2,2,522,9,New Customers
U1149,11,3,196.82,5,2,2,522,9,New Customers
U1150,6,2,102.31,5,1,1,511,7,New Customers
U1151,5,2,189.35,5,1,2,512,8,New Customers
U1152,45,1,43.79,4,1,1,411,6,New Customers
U1153,1,1,45.6,5,1,1,511,7,New Customers
U1154,47,1,48.48,4,1,1,411,6,New Customers
U1155,34,1,37.73,4,1,1,411,6,New Customers
U1156,35,2,115.31,4,1,1,411,6,New Customers
U1157,61,1,63.74,3,1,1,311,5,Needs Attention
U1158,16,3,274.08,5,2,2,522,9,New Customers
U1159,22,3,350.01,4,2,3,423,9,New Customers
U1160,45,1,140.1,4,1,2,412,7,New Customers
U1161,4,2,138.52,5,1,2,512,8,New Customers
U1162,26,1,123.67,4,1,1,411,6,New Customers
U1163,58,1,48.83,4,1,1,411,6,New Customers
U1164,4,2,149.17,5,1,2,512,8,New Customers
U1165,39,1,104.14,4,1,1,411,6,New Customers
U1166,4,3,251.34,5,2,2,522,9,New Customers
U1167,52,2,150.10999999999999,4,2,2,422,8,New Customers
U1168,6,1,198.32,5,1,2,512,8,New Customers
U1169,1,3,307.82,5,2,3,523,10,New Customers
U1170,42,1,233.51,4,1,2,412,7,New Customers
U1171,19,2,137.22,4,2,2,422,8,New Customers
U1172,22,2,250.79000000000002,4,2,2,422,8,New Customers
U1173,20,3,308.3,4,2,3,423,9,New Customers
U1174,29,3,142.29,4,2,2,422,8,New Customers
U1175,56,2,285.52,4,2,2,422,8,New Customers
U1176,48,1,43.86,4,1,1,411,6,New Customers
U1177,36,1,136.1,4,1,2,412,7,New Customers
U1178,9,2,186.62,5,2,2,522,9,New Customers
U1179,9,1,443.83,5,1,3,513,9,New Customers
U1180,8,3,270.1,5,2,2,522,9,New Customers
U1181,271,10,1530.72,2,5,5,255,12,Lost Customers
U1182,237,6,674.71,3,3,3,333,9,Sleeping Customers
U1183,263,9,1093.1100000000001,2,4,4,244,10,Lost Customers
U1184,320,7,829.24,2,4,3,243,9,High check Customers
U1185,332,10,1781.84,2,5,5,255,12,Lost Customers
U1186,244,4,461.28,3,2,3,323,8,Needs Attention
U1187,247,9,1228.98,3,4,4,344,11,Sleeping Customers
U1188,278,5,786.16,2,3,3,233,8,High check Customers
U1189,228,10,1628.35,3,5,5,355,13,Sleeping Customers
U1190,219,6,963.05,3,3,4,334,10,Sleeping Customers
U1191,215,9,1483.01,3,4,5,345,12,Sleeping Customers
U1192,226,10,1332.05,3,5,4,354,12,Sleeping Customers
U1193,298,7,964.6800000000001,2,4,4,244,10,Lost Customers
U1194,430,4,657.95,2,2,3,223,7,Regular Customers
U1195,533,4,418.1,1,3,3,133,7,High check Customers
U1196,354,7,1192.0,2,4,4,244,10,Lost Customers
U1197,322,10,1551.5,2,5,5,255,12,Lost Customers
U1198,231,10,1218.47,3,5,4,354,12,Sleeping Customers
U1199,222,7,1039.6100000000001,3,4,4,344,11,Sleeping Customers
U1200,252,8,966.14,3,4,4,344,11,Sleeping Customers
U1201,231,5,533.21,3,3,3,333,9,Sleeping Customers
U1202,217,8,1651.77,3,4,5,345,12,Sleeping Customers
U1203,215,9,2126.75,3,4,5,345,12,Sleeping Customers
U1204,277,7,1455.78,2,4,5,245,11,Lost Customers
U1205,354,5,901.73,2,3,4,234,9,High check Customers
U1206,216,4,591.39,3,3,3,333,9,Sleeping Customers
U1207,307,5,785.16,2,3,3,233,8,High check Customers
U1208,297,6,821.55,2,3,3,233,8,High check Customers
